['Moda%20Rapido', 0, u'315.0', u'629.0', u'111']
['Moda%20Rapido', 1, u'636.0', u'799.0', u'131']
['Moda%20Rapido', 2, u'829.0', u'959.0', u'145']
['Moda%20Rapido', 3, u'979.0', u'1359.0', u'55']
['Rangriti', 0, u'249.0', u'599.0', u'142']
['Rangriti', 1, u'649.0', u'799.0', u'111']
['Rangriti', 2, u'839.0', u'1139.0', u'114']
['Rangriti', 3, u'1149.0', u'3299.0', u'69']
['La%20Firangi', 0, u'439.0', u'559.0', u'138']
['La%20Firangi', 1, u'562.0', u'639.0', u'120']
['La%20Firangi', 2, u'674.0', u'799.0', u'112']
['La%20Firangi', 3, u'879.0', u'3298.0', u'47']
